article,name,qty
1013208,Мармелад Анаконда 1 кг (12),10.0
1013213,Мармелад Тропические лягушки 1 кг (12),2.0
1013214,Мармелад Пицца ассорти 1 кг (12),2.0
1013215,Мармелад Черепа 1 кг (12),6.0
1014202,Мармелад Бутылочка кола с начинкой 1 кг (12),10.0
1014204,Мармелад Мозг 1 кг (12),6.0
1015281,Мармелад Медведи с начинкой 1 кг (12),10.0
1016482,Мармелад Глаза 1 кг (12),6.0
1018665,Мармелад Гигантские дельфины 1 кг (12),10.0
1019291,Мармелад Гигантский перчик 1 кг (12),1.0
1019628,Мармелад Острое манго 1 кг (12),3.0
1104308,Мармелад Арбузики 1 кг (12),4.0
1150019,Мармелад Джелли бинс 1 кг (12),4.0
