article,name,qty
RA4932Н,"Жевательный мармелад HALAL ""Гигантские крокодилы""",4.0
8412957002082,"Жевательный мармелад HALAL Хрустящие астероиды ""Ягоды в обсыпке кислые""",3.0
66538,"Мармелад жев. HALAL ""Бобы желе со вкусом Ананас""",1.0
66515,"Мармелад жев. HALAL ""Бобы желе со вкусом Апельсин""",1.0
66572,"Мармелад жев. HALAL ""Бобы желе со вкусом Арбуз"" (содержит Е120)",1.0
66514,"Мармелад жев. HALAL ""Бобы желе со вкусом Клубника""",1.0
66513,"Мармелад жев. HALAL ""Бобы желе со вкусом Малина""",2.0
66536,"Мармелад жев. HALAL ""Бобы желе со вкусом Лимон""",1.0
RAZZ-2981 / 62295,"Мармелад жев. ""Ягоды в обсыпке Ананас""",1.0
62006,"Мармелад жев. HALAL ""Бананы""",2.0
56269,"Мармелад жев. HALAL""Блоки 6-цветные в сахаре"" HALAL",2.0
62332,"Мармелад жев. HALAL ""Дольки синие супер кислые""",2.0
55005,"Мармелад жев. HALAL ""Жгутики лакрица"" 1,",1.0
62324,"Мармелад жев. HALAL ""Зубы""",3.0
55546,"Мармелад жев. HALAL ""Жгутики мини в сахаре с начинкой ананас""",1.0
55348,"Мармелад жев. HALAL""Кислые мини палочки разноцветные""",2.0
64550,"Мармелад жев. HALAL ""Клубника в сахаре супер кислая""",2.0
62373,"Мармелад жев. HALAL ""Мышки разноцветные""",3.0
55926,"Мармелад жев. HALAL""Патроны ассорти""",2.0
62127,"Мармелад жев. HALAL ""Мороженое""",2.0
62461,"Мармелад жев. HALAL ""Морковки""",2.0
56441,"Мармелад жев. HALAL""Мини палочки разноцветные""",2.0
56292,"Мармелад жев. HALAL""Мини палочки кола""",2.0
62100,"Мармелад жев. HALAL ""Пицца""",3.0
62434,"Мармелад жев. HALAL ""Сердца с начинкой"" розовые в обсыпке",2.0
62433,"Мармелад жев. HALAL ""Сердца с начинкой"" голубые в обсыпке",2.0
62273 дольки,"Мармелад жев. HALAL ""Фруктовые дольки в сахаре супер кислые""",2.0
66663,"Мармелад жев. HALAL ""Фрукты в сахаре супер кислые""",1.0
64546,"Мармелад жев. HALAL ""Червячки кола""",3.0
62015,"Мармелад жев. HALAL ""Червячки неоновые фруктовые""",2.0
62013,"Мармелад жев. HALAL ""Яичница""",3.0
7810010023,"Жев.резинка ""Фруктовый салат""",1.0
5090010029,"Мармелад жев.""Банан с начинкой""",2.0
5370050002,"Мармелад жев.""Блоки клубника кислые в сахаре"" 1,",1.0
7060010083,"Мармелад жев.""Гигантская Клубника""",3.0
5050010055,"Мармелад жев.""Гигантская Клубника"" в сахаре",3.0
7020010358,"Мармелад жев.""Гигантская Яичница""",4.0
7020010370,"Мармелад жев.""Гигантский Мишка""",4.0
7020010330,"Мармелад жев.""Гигантские Лягушки""",3.0
5370050006,"Мармелад жев.""Жгутики мини Клубника с начинкой"" 1,",1.0
7040050001,"Мармелад жев.""Зубная щетка"" 1,",1.0
5060050024,"Мармелад жев.""Клубничный микс"" кислый 1,",1.0
5060010008,"Мармелад жев.""Клубника""",2.0
5020010067,"Мармелад жев.""Гигантская Кола бутылочка"" 33гр",4.0
5090010028,"Мармелад жев.""Черепа с начинкой""",3.0
5020010014,"Мармелад жев.""Черепашки""",2.0
5100050004,"Мармелад жев.""Ягоды голубые в обсыпке"" 1,",1.0
5100050007,"Мармелад жев.""Ягоды разноцветные в обсыпке"" 1,",1.0
7100010042,"Мармелад жев.""Красные и черные ягоды в обсыпке""",2.0
RA4893Н,"Жевательный мармелад HALAL ""Гигантская кола бутылочка в сахаре""",3.0
RA3510Н,"Жевательный мармелад HALAL ""Банан желто-зеленый"" кислый",1.0
RA3631Н,"Жевательный мармелад HALAL ""Морковки""",2.0
2412957002518,"Жевательный мармелад HALAL ""Ягоды в обсыпке ассорти""",2.0
MM.JEL.65808 786-1675,"Мармелад жев. Saadet ""Гигантский мишка"" 25-30гр HALAL",3.0
146000521,"Мармелад жев.""Змейки""",3.0
142000521,"Мармелад жев.""Морская звезда"" 13гр",2.0
111000521,"Мармелад жев.""Осьминоги""",2.0
5301690004,"Мармелад жев.""Палочки гигантские Клубничный крем (белые с красной нач.)"" 1,",1.0
5371690007,"Мармелад жев.""Палочки гигантские Торнадо 6 цветов"" подсах. 1,",2.0
7321060200,"Мармелад жев.""Палочки гигантские Торнадо 6 цветов"" 1,",1.0
5371690011,"Мармелад жев.""Палочки гигантские Клубника-Малина подсах."" 1,",1.0
5321690004,"Мармелад жев.""Палочки короткие Лакрица"" 1,",1.0
530169009 / 5311690002,"Мармелад жев.""Палочки короткие Йогурт и лесные ягоды"" 1,",1.0
56218,"Мармелад жев.""Гигантские палочки 6-цветные"" 1,",1.0
56219,"Мармелад жев.""Гигантские палочки 6-цветные в сахаре"" 1,",1.0
56216,"Мармелад жев.""Гигантские палочки Кола в сахаре"" 1,",1.0
56212,"Мармелад жев.""Гигантские палочки Клубника"" 1,",1.0
56215,"Мармелад жев.""Гигантские палочки Клубника в сахаре"" 1,",1.0
56214,"Мармелад жев.""Гигантские палочки Арбуз"" 1,",1.0
5351690002,"Мармелад жев.""Подсахаренные пластинки Фантазия"" 1,",1.0
5351690006,"Мармелад жев.""Подсахаренные пластинки Арбуз"" 1,",1.0
5351690004,"Мармелад жев.""Подсахаренные пластинки Малина"" 1,",1.0
5351690001,"Мармелад жев.""Подсахаренные пластинки Клубника"" 1,",1.0
5351690003,"Мармелад жев.""Подсахаренные пластинки Кола"" 1,",1.0
5351690005,"Мармелад жев.""Подсахаренные пластинки Яблоко"" 1,",1.0
AG-B/3164,"Суфле ""Ежевика"" с нач. (пакет)",1.0
AG-B/5012,"Суфле ""Дольки Ассорти"" (арбуз",1.0
AG-B/3802,"Суфле ""Клубника розовая с начинкой"" (пакет)",1.0
AG-B/3146,"Суфле ""Малина"" с начинкой (пакет)",1.0
AG-B/3350,"Суфле ""Маргаритки"" 0, (пакет)",1.0
AG-B/3130,"Суфле ""Персик с начинкой"" (пакет)",1.0
AG-B/3102,"Суфле ""Мороженное 12гр"" (розово-желтое) 0, (пакет)",1.0
AG-B/3127,"Суфле ""Мишка розовый"" 0, (пакет)",0.9
AG-B/3130,"Суфле ""Яблоко с начинкой"" (пакет)",1.0
5421690001,"Мармелад жев.""Спагеттини микс в сахаре"" 1,",1.0
783,.Транспортные услуги (без разгрузки),1.0
