"","Внимание! Оплата данного счета означает согласие с условиями поставки товара. 
Уведомление об оплате обязательно, в противном случае не гарантируется наличие товара на складе. 
Товар отпускается по факту прихода денег на р/с Поставщика, самовывозом, при наличии доверенности и паспорта.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Образец заполнения платежного поручения","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Ф-Л ""СЕВЕРНАЯ СТОЛИЦА"" АО ""РАЙФФАЙЗЕНБАНК"" Г. САНКТ-ПЕТЕРБУРГ","","","","","","","","","","","","","","","","","","","","","","","БИК","","","044030723","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","Сч. №","","","30101810100000000723","","","","","","","","","","","","","","","","","","","",""
"","Банк получателя","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","ИНН","","7723878632","","","","","","","КПП","","","772301001","","","","","","","","","","","Сч. №","","","40702810303000090618","","","","","","","","","","","","","","","","","","","",""
"","ООО ""МАРМЕЛАДЛЭНД""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Получатель","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Счет на оплату № УТ-835 от 5 августа 2024 г.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Поставщик:","","","","ООО ""МАРМЕЛАДЛЭНД"", ИНН 7723878632, КПП 772301001, 109382, Москва г, Нижние Поля ул, дом № 27А, строение 2, пом. №1 комн.№2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Покупатель:","","","","ООО ""Мармеладный дворик"", ИНН 2721253925 , 680000, Хабаровск, Тургенева, д. 48, кв. 116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","№","","Товары (работы, услуги)","","","","","","","","","","","","","","","","","","","","","","","","Количество","","","","","Цена","","","","Ставка НДС","","","","Сумма НДС","","","","Сумма","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1","","1013208  Мармелад Анаконда   1 кг (12)","","","","","","","","","","","","","","","","","","","","","","","","10","","","Упак","","853.00","","","","20%","","","","1,421.67","","","","8,530.00","","",""
