"","","","","","","Внимание! Счет действителен 3 рабочих дня.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","При несвоевременной оплате по счету наличие товара не гарантируется.
Оплата данного счета означает согласие с условиями поставки товара. 
Уведомление об оплате обязательно, в противном случае не гарантируется
наличие товара на складе. Товар отпускается по факту прихода денег 
на р/с Поставщика, самовывозом, при наличии доверенности и паспорта.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Образец заполнения платежного поручения","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Банк ГПБ (АО) г. Москва","","","","","","","","","","","","","","","","","","БИК","","","044525823","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Сч. №","","","30101810200000000823","","","","","","","","","","","","","","","","","","","","",""
"","Банк получателя","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","ИНН","","504790274480","","","","","","","КПП","","","","","","","","","Сч. №","","","40802810100000048889","","","","","","","","","","","","","","","","","","","","",""
"","ИП Гордеева Людмила Владимировна","","","","","","","","","","","","","","","","","","Вид оп.","","","01","","","Срок плат.","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Наз. пл.","","","","","","Очер. плат.","","","5","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Код","","","ЗК2506СНУТ0030120000","","","Рез. поле","","","","","","","","","","","","","","","","","",""
"","Получатель","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Оплата по заказу клиента №16791","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Назначение платежа","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Счет на оплату № 16791 от 26 июня 2025 г.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Поставщик:","","","","ИП Гордеева Людмила Владимировна, ИНН 504790274480, 125212, Город Москва, Ленинградское шоссе, д. 25, к. 3, кв. 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Покупатель:","","","","ООО ""МАРМЕЛАДНЫЙ ДВОРИК"", ИНН 2721253925, КПП 272101001, 680000, Хабаровский Край, г.о. Город Хабаровск, г Хабаровск, ул Тургенева, дом 48, квартира 116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","№","","Артикул","","","Товары (работы, услуги)","","","","","","","","","","","","","","","","","","","","","Количество","","","","","Цена","","","","Сумма","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1","","783","","",".Транспортные услуги (без разгрузки)","","","","","","","","","","","","","","","","","","","","","1","","шт","","","500.00","","","","500.00","","","","","","",""
"","2","","AG-B/3127","","","Суфле ""Мишка розовый"" 0,9кг х 6 (пакет) /AGOSTINO BULGARI/Италия","","","","","","","","","","","","","","","","","","","","","2","","пакет (0.9 кг)","","","847.89","","","","1,695.78","","","","","","",""
"","3","","AG-B/3102","","","Суфле ""Мороженное 12гр"" (розово-желтое) 0,9кг х6 (пакет) /AGOSTINO BULGARI Италия/","","","","","","","","","","","","","","","","","","","","","1","","пакет (0.9 кг)","","","847.89","","","","847.89","","","","","","",""
"","4","","AG-B/3164","","","Суфле ""Ежевика"" с нач.1кг х6 (пакет) /AGOSTINO BULGARI Италия/","","","","","","","","","","","","","","","","","","","","","1","","пакет (1кг)","","","1,091.00","","","","1,091.00","","","","","","",""
"","5","","AG-B/3802","","","Суфле ""Клубника розовая с начинкой""1кг х6 (пакет) /AGOSTINO BULGARI Италия/","","","","","","","","","","","","","","","","","","","","","1","","пакет (1кг)","","","1,104.80","","","","1,104.80","","","","","","",""
"","6","","AG-B/3146","","","Суфле ""Малина"" с начинкой 1кг х6 (пакет) /AGOSTINO BULGARI Италия/","","","","","","","","","","","","","","","","","","","","","1","","пакет (1кг)","","","1,091.00","","","","1,091.00","","","","","","",""
"","7","","AG-B/3130","","","Суфле ""Персик с начинкой"" 1кгх6 (пакет) /AGOSTINO BULGARI Италия/","","","","","","","","","","","","","","","","","","","","","1","","пакет (1 кг)","","","1,091.00","","","","1,091.00","","","","","","",""
"","8","","AG-B/3130","","","Суфле ""Яблоко с начинкой"" 1кгх6 (пакет) /AGOSTINO BULGARI Италия/","","","","","","","","","","","","","","","","","","","","","1","","пакет (1 кг)","","","1,091.00","","","","1,091.00","","","","","","",""
"","9","","8412957003928","","","Жевательный мармелад HALAL ""Гигантская Кола бутылочка"" 1кг х 12 /BURMAR","","","","","","","","","","","","","","","","","","","","","3","","пакет (1 кг)","","","841.67","","","","2,525.01","","","","","","",""
"","10","","2412957002518","","","Жевательный мармелад HALAL ""Ягоды в обсыпке ассорти"" 1кг х 12 /BURMAR","","","","","","","","","","","","","","","","","","","","","1","","пакет (1 кг)","","","1,079.50","","","","1,079.50","","","","","","",""
