name,article,total
.Транспортные услуги (без разгрузки),783,4
Бутылочка кола с начинкой,1014202,10
"Жев.резинка ""Фруктовый салат""",7810010023,2
"Жевательный мармелад HALAL ""Банан желто-зеленый"" кислый",RA3510Н,2
"Жевательный мармелад HALAL ""Гигантская Кола бутылочка""",8412957003928,6
"Жевательный мармелад HALAL ""Гигантская кола бутылочка в сахаре""",RA4893Н,10
"Жевательный мармелад HALAL ""Гигантские крокодилы""",RA4932Н,8
"Жевательный мармелад HALAL ""Кольца Манго-Маракуйя"" экстра кислые",RA3698H,4
"Жевательный мармелад HALAL ""Кольца арбуз"" экстра кислые 10гр",RA3701Н,4
"Жевательный мармелад HALAL ""Кольца кола"" 10гр",RA4061H,4
"Жевательный мармелад HALAL ""Морковки""",RA3631Н,4
"Жевательный мармелад HALAL ""Ягоды в обсыпке ассорти""",2412957002518,6
"Жевательный мармелад HALAL Хрустящие астероиды ""Ягоды в обсыпке кислые""",8412957002082,12
"Кольца черная смородина, сливки",RA3699H,4
Мармелад Анаконда 1 кг (12),1013208,10
Мармелад Арбузики 1 кг (12),1104308,4
Мармелад Гигантские дельфины 1 кг (12),1018665,10
Мармелад Гигантский перчик 1 кг (12),1019291,1
Мармелад Глаза 1 кг (12),1016482,6
Мармелад Джелли бинс 1 кг (12),1150019,4
Мармелад Медведи с начинкой 1 кг (12),1015281,10
Мармелад Мозг 1 кг (12),1014204,6
Мармелад Острое манго 1 кг (12),1019628,3
Мармелад Пицца ассорти 1 кг (12),1013214,2
Мармелад Тропические лягушки 1 кг (12),1013213,2
Мармелад Черепа 1 кг (12),1013215,6
"Мармелад жев. ""Ягоды в обсыпке Ананас""",RAZZ-2981 / 62295,3
"Мармелад жев. HALAL ""Бананы""",62006,8
"Мармелад жев. HALAL ""Бобы желе со вкусом Ананас""",66538,6
"Мармелад жев. HALAL ""Бобы желе со вкусом Апельсин""",66515,2
"Мармелад жев. HALAL ""Бобы желе со вкусом Арбуз"" (содержит Е120)",66572,2
"Мармелад жев. HALAL ""Бобы желе со вкусом Клубника""",66514,2
"Мармелад жев. HALAL ""Бобы желе со вкусом Лимон""",66536,2
"Мармелад жев. HALAL ""Бобы желе со вкусом Малина""",66513,8
"Мармелад жев. HALAL ""Бобы желе со вкусом Яблоко""",66537,2
"Мармелад жев. HALAL ""Бобы желе со вкусом колы""",66571,2
"Мармелад жев. HALAL ""Гигантская яичница"" 37гр",62448,8
"Мармелад жев. HALAL ""Гигантский виноград""",64330,4
"Мармелад жев. HALAL ""Дольки синие супер кислые""",62332,10
"Мармелад жев. HALAL ""Жгутики лакрица"" 1,",55005,2
"Мармелад жев. HALAL ""Жгутики мини в сахаре с начинкой ананас""",55546,6
"Мармелад жев. HALAL ""Зубы""",62324,6
"Мармелад жев. HALAL ""Клубника в сахаре супер кислая""",64550,8
"Мармелад жев. HALAL ""Морковки""",62461,4
"Мармелад жев. HALAL ""Мороженое""",62127,4
"Мармелад жев. HALAL ""Мышки разноцветные""",62373,10
"Мармелад жев. HALAL ""Пицца""",62100,6
"Мармелад жев. HALAL ""Сердца с начинкой"" голубые в обсыпке",62433,8
"Мармелад жев. HALAL ""Сердца с начинкой"" розовые в обсыпке",62434,8
"Мармелад жев. HALAL ""Фруктовые дольки в сахаре супер кислые""",62273 дольки,4
"Мармелад жев. HALAL ""Фрукты в сахаре супер кислые""",66663,4
"Мармелад жев. HALAL ""Червячки в сахаре""",62009,4
"Мармелад жев. HALAL ""Червячки кола""",64546,12
"Мармелад жев. HALAL ""Червячки неоновые фруктовые""",62015,8
"Мармелад жев. HALAL ""Яичница""",62013,14
"Мармелад жев. HALAL""Блоки 6-цветные в сахаре"" HALAL",56269,4
"Мармелад жев. HALAL""Кислые мини палочки разноцветные""",55348,8
"Мармелад жев. HALAL""Мини палочки кола""",56292,4
"Мармелад жев. HALAL""Мини палочки разноцветные""",56441,8
"Мармелад жев. HALAL""Патроны ассорти""",55926,4
"Мармелад жев. Saadet ""Гигантский мишка"" 25-30гр HALAL",MM.JEL.65808 786-1675,3
"Мармелад жев.""Банан с начинкой""",5090010029,4
"Мармелад жев.""Блоки клубника кислые в сахаре"" 1,",5370050002,6
"Мармелад жев.""Гигантская Клубника""",7060010083,12
"Мармелад жев.""Гигантская Клубника"" в сахаре",5050010055,12
"Мармелад жев.""Гигантская Кола бутылочка"" 33гр",5020010067,8
"Мармелад жев.""Гигантская Яичница""",7020010358,8
"Мармелад жев.""Гигантские Лягушки""",7020010330,10
"Мармелад жев.""Гигантские палочки 6-цветные в сахаре"" 1,",56219,4
"Мармелад жев.""Гигантские палочки 6-цветные"" 1,",56218,4
"Мармелад жев.""Гигантские палочки Арбуз"" 1,",56214,2
"Мармелад жев.""Гигантские палочки Клубника в сахаре"" 1,",56215,2
"Мармелад жев.""Гигантские палочки Клубника"" 1,",56212,2
"Мармелад жев.""Гигантские палочки Кола в сахаре"" 1,",56216,4
