name,article,total
"Мармелад жев.""Ягоды разноцветные в обсыпке"" 1,",5100050007,1
"Мармелад жев.""Ягоды голубые в обсыпке"" 1,",5100050004,1
"Суфле «Палочки спирали разноцветные» 0,",5600150041,1
"Мармелад жев.""Подсахаренные пластинки Фантазия"" 1,",5351690002,1
"Мармелад жев.""Подсахаренные пластинки Малина"" 1,",5351690004,1
"Мармелад жев.""Подсахаренные пластинки Кола"" 1,",5351690003,1
"Мармелад жев.""Подсахаренные пластинки Клубника"" 1,",5351690001,1
"Мармелад жев.""Палочки гигантские Торнадо 6 цветов"" подсах. 1,",5371690007,1
"Мармелад жев.""Палочки гигантские Торнадо 6 цветов"" 1,",7321060200,1
"Мармелад жев.""Палочки гигантские Клубничный крем (белые с красной нач.)"" 1,",5301690004,1
"Мармелад жев.""Палочки гигантские Арбуз"" 1,",7321060201,1
"Мармелад жев.""Палочки гигантские Арбуз подсах."" 1,",5371690004,1
"Мармелад жев.""Жгутики мини Клубника с начинкой"" 1,",5370050006,1
"Мармелад жев.""Манго"" кислое 7гр",5050010053,1
"Мармелад жев.""Клубничный микс"" кислый 1,",5060050024,1
"Мармелад жев.""Зубная щетка"" 1,",7040050001,1
"Мармелад жев. HALAL ""Фрукты в сахаре супер кислые""",66663,1
"Мармелад жев. HALAL ""Бобы желе со вкусом Яблоко""",66537,1
"Мармелад жев. HALAL ""Бобы желе со вкусом колы""",66571,1
"Мармелад жев.""Гигантские палочки Кола"" 1,",56213,1
"Мармелад жев.""Гигантские палочки Кола в сахаре"" 1,",56216,1
"Мармелад жев.""Гигантские палочки 6-цветные"" 1,",56218,1
"Мармелад жев.""Гигантские палочки 6-цветные в сахаре"" 1,",56219,1
"Жевательный мармелад HALAL ""Ягоды в обсыпке ассорти""",2412957002518,1
"Суфле ""Малина"" с начинкой (пакет)",AG-B/3146,1
"Суфле ""Клубника розовая с начинкой"" (пакет)",AG-B/3802,1
"Суфле ""Ежевика"" с нач. (пакет)",AG-B/3164,1
"Суфле ""Мороженное 12гр"" (розово-желтое) 0, (пакет)",AG-B/3102,1
.Транспортные услуги (без разгрузки),783,1
Мармелад Гигантский перчик 1 кг (12),1019291,1
